Australia,2014	,100,55.4,0,47.2,0,55.3
Australia,2015	,100,55.8,0,47.3,0,55.7
Australia,2016	,100,55.5,0,46.8,0,55.5
Australia,2017	,100,54.9,0,46,0,54.9
Australia,2018	,100,54.2,0,45.1,0,54.2
Austria,2014	,99.9,35.7,NONE,0,NONE,35.7
Austria,2015	,99.9,36.2,NONE,0,NONE,36.2
Austria,2016	,99.9,36.5,NONE,0,NONE,36.5
Austria,2017	,99.9,36.9,NONE,0,NONE,36.9
Austria,2018	,99.9,37.2,NONE,0,NONE,37.2
Belgium,2014	,99,82.2,NONE,NONE,NONE,49.2
Belgium,2015	,99,98,NONE,NONE,98,48.6
Belgium,2016	,99,98,NONE,NONE,98,49.6
Belgium,2017	,98.7,98,NONE,NONE,98,49.3
Belgium,2018	,98.7,98,NONE,NONE,98,51.4
Brazil,2014	,NONE,25.5,NONE,NONE,NONE,NONE
Brazil,2015	,NONE,26,NONE,NONE,NONE,NONE
Brazil,2016	,NONE,25.3,NONE,NONE,NONE,NONE
Brazil,2017	,NONE,24.4,NONE,NONE,NONE,NONE
Brazil,2018	,NONE,24.2,NONE,NONE,NONE,NONE
Canada,2014	,100,67,0,0,0,67
Canada,2015	,100,67,0,0,0,67
Canada,2016	,100,67,0,0,0,67
Canada,2017	,100,68,0,0,0,68
Canada,2018	,100,68,0,0,0,68
Chile,2014	,75.7,NONE,18.5,NONE,30.6,NONE
Chile,2015	,73.8,NONE,18.8,NONE,29.5,NONE
Chile,2016	,75.5,NONE,18.7,NONE,29.1,NONE
Chile,2017	,75.5,NONE,18.4,NONE,34.9,NONE
Chile,2018	,75.2,NONE,18.2,NONE,41.3,NONE
Colombia,2014	,96.6,4.2,NONE,NONE,NONE,NONE
Colombia,2015	,97.6,7.8,NONE,NONE,NONE,NONE
Colombia,2016	,95.7,6.9,NONE,NONE,NONE,NONE
Colombia,2017	,94.9,8.2,NONE,NONE,NONE,NONE
Colombia,2018	,94.7,NONE,NONE,NONE,NONE,NONE
Costa Rica,2014	,94.7,NONE,NONE,NONE,NONE,NONE
Costa Rica,2015	,94.9,NONE,NONE,NONE,NONE,NONE
Costa Rica,2016	,95,NONE,NONE,NONE,NONE,NONE
Costa Rica,2017	,95.4,NONE,NONE,NONE,NONE,NONE
Costa Rica,2018	,91.6,NONE,NONE,NONE,NONE,NONE
Czech Republic,2014	,100,0.2,0.2,NONE,NONE,0
Czech Republic,2015	,100,0,0,NONE,NONE,0
Czech Republic,2016	,100,0,0,NONE,NONE,0
Czech Republic,2017	,100,0,0,NONE,NONE,0
