"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2010","2010",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2011","2011",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2012","2012",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2013","2013",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2014","2014",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2015","2015",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2016","2016",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2017","2017",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2018","2018",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2019","2019",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2020","2020",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUT","Austria","2010","2010",99.3,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUT","Austria","2011","2011",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUT","Austria","2012","2012",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUT","Austria","2013","2013",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUT","Austria","2014","2014",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUT","Austria","2015","2015",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUT","Austria","2016","2016",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUT","Austria","2017","2017",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUT","Austria","2018","2018",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUT","Austria","2019","2019",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUT","Austria","2020","2020",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","BEL","Belgium","2010","2010",99,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","BEL","Belgium","2011","2011",99,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","BEL","Belgium","2012","2012",99,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","BEL","Belgium","2013","2013",99,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","BEL","Belgium","2014","2014",99,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","BEL","Belgium","2015","2015",99,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","BEL","Belgium","2016","2016",99,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","BEL","Belgium","2017","2017",98.7,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","BEL","Belgium","2018","2018",98.7,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","BEL","Belgium","2019","2019",98.6,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CAN","Canada","2010","2010",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CAN","Canada","2011","2011",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CAN","Canada","2012","2012",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CAN","Canada","2013","2013",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CAN","Canada","2014","2014",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CAN","Canada","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CAN","Canada","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CAN","Canada","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CAN","Canada","2018","2018",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CAN","Canada","2019","2019",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CAN","Canada","2020","2020",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CZE","Czech Republic","2010","2010",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CZE","Czech Republic","2011","2011",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CZE","Czech Republic","2012","2012",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CZE","Czech Republic","2013","2013",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CZE","Czech Republic","2014","2014",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CZE","Czech Republic","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CZE","Czech Republic","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CZE","Czech Republic","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CZE","Czech Republic","2018","2018",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CZE","Czech Republic","2019","2019",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CZE","Czech Republic","2020","2020",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DNK","Denmark","2010","2010",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DNK","Denmark","2011","2011",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DNK","Denmark","2012","2012",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DNK","Denmark","2013","2013",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DNK","Denmark","2014","2014",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DNK","Denmark","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DNK","Denmark","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DNK","Denmark","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DNK","Denmark","2018","2018",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DNK","Denmark","2019","2019",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DNK","Denmark","2020","2020",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FIN","Finland","2010","2010",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FIN","Finland","2011","2011",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FIN","Finland","2012","2012",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FIN","Finland","2013","2013",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FIN","Finland","2014","2014",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FIN","Finland","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FIN","Finland","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FIN","Finland","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FIN","Finland","2018","2018",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FIN","Finland","2019","2019",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FIN","Finland","2020","2020",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FRA","France","2010","2010",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FRA","France","2011","2011",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FRA","France","2012","2012",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FRA","France","2013","2013",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FRA","France","2014","2014",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FRA","France","2015","2015",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FRA","France","2016","2016",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FRA","France","2017","2017",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FRA","France","2018","2018",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FRA","France","2019","2019",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FRA","France","2020","2020",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DEU","Germany","2010","2010",88.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DEU","Germany","2011","2011",88.8,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DEU","Germany","2012","2012",88.8,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DEU","Germany","2013","2013",89,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DEU","Germany","2014","2014",89.1,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DEU","Germany","2015","2015",89.2,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DEU","Germany","2016","2016",89.3,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DEU","Germany","2017","2017",89.4,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DEU","Germany","2018","2018",89.4,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DEU","Germany","2019","2019",89.5,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","GRC","Greece","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","GRC","Greece","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","GRC","Greece","2018","2018",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","GRC","Greece","2019","2019",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","HUN","Hungary","2010","2010",97,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","HUN","Hungary","2011","2011",96,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","HUN","Hungary","2012","2012",96,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","HUN","Hungary","2013","2013",96,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","HUN","Hungary","2014","2014",95,,
